"ECR","Player","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"141","Juwan Thompson DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"142","Peyton Barber TB","18.116","16.123","15.526","15.725","14.830","14.928","21.73","16.222","21.74","18.613","BYE","19.710","16.421","15.824","19.710","16.222","21.74"
"143","Joe Banyard BUF","18.613","16.222","19.312","19.710","18.314","BYE","19.99","19.611","18.613","21.74","20.28","18.315","14.830","20.86","18.116","14.830","18.116"
"144","Patrick DiMarco BUF","18.613","16.222","19.312","19.710","18.314","BYE","19.99","19.611","18.613","21.74","20.28","18.315","14.830","20.86","18.116","14.830","18.116"
"145","Andy Janovich DEN","20.28","14.332","21.73","19.611","BYE","15.725","20.28","18.315","16.720","14.830","18.314","19.611","18.116","18.613","20.86","21.05","18.315"
"146","Khalfani Muhammad TEN","19.611","17.019","14.631","17.518","18.116","20.86","23.72","BYE","15.027","18.314","20.57","20.86","17.518","14.928","28.11","17.817","17.019"
"147","Akeem Hunt HOU","17.019","18.314","14.830","14.829","18.315","23.72","BYE","14.631","20.86","17.817","14.928","15.027","14.829","28.11","17.019","20.57","20.86"
"148","Jalston Fowler TEN","19.611","17.019","14.631","17.518","18.116","20.86","23.72","BYE","15.027","18.314","20.57","20.86","17.518","14.928","28.11","17.817","17.019"
"149","Brandon Wilds CLE","20.57","15.027","20.86","18.314","18.613","17.518","14.829","15.526","BYE","15.824","17.019","18.314","20.28","16.421","15.027","16.123","20.57"
"150","Knile Davis PIT","23.72","15.526","16.123","15.027","17.019","18.315","18.314","15.824","BYE","20.86","14.829","16.421","18.314","15.027","14.830","17.518","23.72"
"151","Dan Vitale CLE","20.57","15.027","20.86","18.314","18.613","17.518","14.829","15.526","BYE","15.824","17.019","18.314","20.28","16.421","15.027","16.123","20.57"
"152","Byron Marshall PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"153","Jonathan Grimes JAC","17.518","14.829","15.027","18.613","20.57","17.817","20.86","BYE","18.314","20.28","23.72","14.928","20.86","14.631","17.518","28.11","14.829"
"154","Cedric Peerman CIN","15.027","17.518","16.421","23.72","21.73","BYE","20.57","20.86","17.019","14.829","19.312","23.72","20.57","16.123","15.526","15.824","15.027"
"155","D.J. Foster NE","18.315","21.74","17.518","16.222","19.99","18.613","19.710","20.28","BYE","19.312","19.611","18.116","21.73","18.116","20.57","21.73","18.613"
"156","Corey Clement PHI","21.05","18.315","15.725","20.28","14.928","16.222","21.05","28.11","19.312","BYE","14.332","16.123","14.631","17.817","15.725","19.611","14.332"
"157","Storm Johnson MIA","19.99","20.28","18.613","21.74","14.829","19.710","18.613","15.027","19.611","16.222","BYE","14.830","19.312","14.830","21.73","18.315","21.73"
"158","George Atkinson OAK","14.829","18.613","21.05","19.312","15.027","20.28","18.315","21.73","18.116","BYE","14.830","19.312","15.725","18.315","14.332","16.720","20.28"
"159","Aaron Green LAR","20.86","21.05","28.11","14.332","14.631","17.019","14.928","BYE","15.725","17.518","15.526","21.74","14.928","16.720","14.631","14.829","28.11"
""
""
